"","plot","latitude","longitude","area","subsamples","area_m2","Last_fire_y_ago","collection_date","biome","nativeness","warning","delta15N","N_conc_g_kg","P_conc_mg_kg","abund","richness","mold_Eurotiales_Abundance","mold_Mortierellales_Abundance","mold_Mucorales_Abundance","mold_Trichoderma_Abundance","mold_Umbelopsidales_Abundance","lat","lon","sample_name","study_id","raster_value","adiv_richness_new","adiv_chao1_new","adiv_shannon_new","subtype","value"
"1","11MR",57.91,26.32,"Estonia:Sangaste",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","1.958914608","8.607632877","62.25348279",2908,669,3.610729023,24.62173315,0.137551582,6.946354883,6.499312242,57.91,26.32,"11MR","MR",29228,446,663.454545454545,5.02816994093953,"coniferous",5.02816994093953
"2","14MR",59.22,25.18,"Estonia:Ahisilla",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","","0.150616451","3.435929682","11.42307692",2440,518,31.80327869,5.819672131,0.163934426,0.409836066,0.778688525,59.22,25.18,"14MR","MR",28255,374,515.679012345679,4.65049104357281,"coniferous",4.65049104357281
"3","15MR",59.08,27.17,"Estonia:Roostoja",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","molds_above_5SD_median","2.8651746","0.565597278","7.043775701",2630,399,2.927756654,5.741444867,0.038022814,2.281368821,45.39923954,59.08,27.17,"15MR","MR",26086,289,404.238095238095,4.23130596712808,"coniferous",4.23130596712808
"4","16MR",57.83,26.4,"Estonia:Tagula",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","-0.725008735","3.441709103","38.41298063",2006,476,21.88434696,3.090727817,0.099700897,3.589232303,25.42372881,57.83,26.4,"16MR","MR",28970,342,485.149253731343,4.59255924820634,"coniferous",4.59255924820634
"5","17MR",59.02,26.9,"Estonia:Maetsma",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.832510349","0.906192966","9.888364752",2077,284,20.51035147,9.099662975,0.09629273,0.529610014,38.51709196,59.02,26.9,"17MR","MR",26900,220,258.037735849057,3.98182580703946,"coniferous",3.98182580703946
"6","18MR",59.14,27.44,"Estonia:Ongassaare",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","molds_above_5SD_median","2.148329174","0.43642392","4.861412888",4171,578,5.801965955,4.531287461,0,1.078877967,39.10333253,59.14,27.44,"18MR","MR",28822,355,497.235294117647,4.62267706794414,"coniferous",4.62267706794414
"7","19MR",58.27,27.29,"Estonia:Järvselja",40,"2500","100","2013-05-28","forest: temperate coniferous forest biome","","","0.376897162","10.46354435","65.36928358",2204,452,3.221415608,4.809437387,0.408348457,2.404718693,16.15245009,58.27,27.29,"19MR","MR",28656,328,422.25,4.867998197886,"coniferous",4.867998197886
"8","1MR",58.16,27.13,"Estonia:Säässaare",40,"2500","100","2013-06-19","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.208587798","1.258939083","37.81437946",3740,514,0.50802139,18.28877005,1.417112299,0.802139037,36.20320856,58.16,27.13,"1MR","MR",26141,323,545.058823529412,4.31081878834197,"coniferous",4.31081878834197
"9","20MR",57.58,26.45,"Estonia:Tursa",40,"2500","100","2013-06-30","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.776478516","0.917764394","41.11921569",3315,392,1.960784314,0.392156863,0,0.512820513,39.42684766,57.58,26.45,"20MR","MR",28241,258,367,3.95886410255626,"coniferous",3.95886410255626
"10","21MR",57.68,26.87,"Estonia:Tüütsi",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.113215754","0.899669909","9.069434133",2523,410,9.076496235,9.512485137,0.435988902,5.231866825,42.2909235,57.68,26.87,"21MR","MR",28542,292,384.776119402985,4.532533541989,"coniferous",4.532533541989
"11","22MR",57.91,27.32,"Estonia:Nohipalo",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.047058362","0.377469033","44.47789203",2787,356,0,2.691065662,0.035880875,0.035880875,40.15069968,57.91,27.32,"22MR","MR",28337,242,317.677966101695,3.44419443152296,"coniferous",3.44419443152296
"12","23MR",59.46,25.76,"Estonia:Valgejõe",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","","-0.636715308","0.610686119","2.054564926",2927,465,3.074820635,6.388793987,0.136658695,3.48479672,33.65220362,59.46,25.76,"23MR","MR",27029,320,392.549295774648,4.63635521604481,"coniferous",4.63635521604481
