"","Metagenomic Diversity index","lon","lat","sample_name","Nation","Bioproject","Depth","min_len","avg_len","max_len","subtype","raster_value","value"
"1",0.930926841434734,119.136439,32.479787,"DRR101455","China","PRJDB6359","20 cm",100,149.9,150,"agricultural land",27327,0.930926841434734
"2",0.939885836098732,130.766,32.889,"DRR160703","Japan","PRJDB7705","5-10 cm",100,249.7,250,"agricultural land",29260,0.939885836098732
"3",0.945607750559065,140.244,38.249,"DRR160715","Japan","PRJDB7705","5-10 cm",100,249.7,250,"agricultural land",26720,0.945607750559065
"4",0.9610498873111,-97.52056,34.98167,"ERR1051325","United States","PRJEB10725","10 cm",90,149.5,151,"grassland",28803,0.9610498873111
"5",0.948956261386605,-147.84,64.85,"SRR10011679","United States","PRJNA554847","0-10 cm",100,146.4,151,"forest",29285,0.948956261386605
"6",0.161270807890238,104.16,25.263,"SRR10445787","China","PRJNA588894","0-15 cm",100,149.3,150,"agricultural land",24640,0.161270807890238
"7",0.916322241011463,-123.6308,39.7392,"SRR10466945","USA: California, Angelo Coastal Reserve","PRJNA365685","0.2 m",90,250.9,251,"grassland",25882,0.916322241011463
"8",0.950503005484279,16.08,-23.14,"SRR10857620","Namibia","PRJNA592367","Surface",100,209.6,251,"bare land",13182,0.950503005484279
"9",0.938830142777067,15.55,-23.2,"SRR10857621","Namibia","PRJNA592367","Surface",100,211.5,251,"bare land",146,0.938830142777067
"10",0.936308886602571,14.70482686,48.66695901,"SRR10968225","Czech Republic","PRJNA603240","0",100,239.8,250,"forest",29053,0.936308886602571
"11",0.925943606265752,14.7088035,48.66532182,"SRR10968226","Czech Republic","PRJNA603240","0",100,242.3,250,"forest",28811,0.925943606265752
"12",0.872177826502665,14.70578717,48.66418975,"SRR10968235","Czech Republic","PRJNA603240","0",100,227.2,250,"forest",29111,0.872177826502665
"13",0.908567058867937,14.70930506,48.66447093,"SRR10968246","Czech Republic","PRJNA603240","0",90,225.1,250,"forest",28811,0.908567058867937
"14",0.942607351888795,14.70447406,48.66430814,"SRR10968264","Czech Republic","PRJNA603240","0",100,239.8,250,"forest",29111,0.942607351888795
"15",0.96764553132305,-88.242,40.075,"SRR1153387","United States","PRJNA236429","5 cm",90,100.7,101,"agricultural land",29785,0.96764553132305
"16",0.965045821633497,-93.48901667,47.50505,"SRR1157616","United States","PRJNA221719","0-10 cm",100,100,100,"forest",28898,0.965045821633497
"17",0.925534572787543,117.5,38.7,"SRR1164896","China","PRJNA237577","<1 m",100,101,101,"shrubland",25197,0.925534572787543
"18",0.889418527080183,117.5,38.7,"SRR1168459","China","PRJNA237577","<1 m",100,150.1,151,"agricultural land",25197,0.889418527080183
"19",0.932334758061915,111.4635061,27.6218222,"SRR1185960","China","PRJNA239941","0.08 m",90,90,90,"agricultural land",28575,0.932334758061915
"20",0.909361495914077,34.97481,29.94152,"SRR12102596","Israel","PRJNA642232","2-5 cm",100,148.7,151,"bare land",813,0.909361495914077
"21",0.874656596761024,34.767347,30.785336,"SRR12102597","Israel","PRJNA642232","2-5 cm",100,148.3,151,"bare land",19717,0.874656596761024
"22",0.919495697439347,34.74583333,30.60916667,"SRR12102598","Israel","PRJNA642232","2-5 cm",100,148.3,151,"bare land",10097,0.919495697439347
"23",0.915279013381662,34.91305556,31.34916667,"SRR12102600","Israel","PRJNA642232","2-5 cm",100,148.2,151,"bare land",28916,0.915279013381662
"24",0.926353425438788,34.75277778,31.25333333,"SRR12102602","Israel","PRJNA642232","2-5 cm",100,147.2,151,"bare land",26957,0.926353425438788
"25",0.931673671249525,34.91472222,31.63027778,"SRR12102603","Israel","PRJNA642232","2-5 cm",100,146.5,151,"shrubland",28680,0.931673671249525
"26",0.922579017367829,34.94916667,30.405,"SRR12102604","Israel","PRJNA642232","2-5 cm",100,147.8,151,"bare land",6141,0.922579017367829
"27",0.933190851800948,34.93304444,31.64222222,"SRR12102606","Israel","PRJNA642232","2-5 cm",100,147.6,151,"shrubland",21030,0.933190851800948
"28",0.940991487546256,34.935008,31.642372,"SRR12102607","Israel","PRJNA642232","2-5 cm",100,147.4,151,"shrubland",24167,0.940991487546256
"29",0.906993923766899,137.1363,-30.4704,"SRR12284399","Australia: Roxby Downs","PRJNA647683","0-10 cm",100,150,150,"bare land",13440,0.906993923766899
"30",0.923837492168627,-114.9159,35.8171,"SRR12284405","USA: Mojave desert, Nevada","PRJNA647683","0-10 cm",100,147.5,151,"bare land",10827,0.923837492168627
"31",0.807557651077832,96.2267,39.9022,"SRR12284406","China","PRJNA647683","0-2 cm",100,149.7,151,"bare land",14469,0.807557651077832
"32",0.910137047025211,15.5346,-23.3107,"SRR12284407","Namibia","PRJNA647683","0-10 cm",100,147.5,151,"bare land",11723,0.910137047025211
"33",0.950127304563612,137.1363,-30.4704,"SRR12284408","Australia: Roxby Downs","PRJNA647683","0-10 cm",90,145.9,151,"bare land",13440,0.950127304563612
"34",0.959982693193743,144.470078,-37.446379,"SRR12418375","Australia","PRJNA656125","5-10 cm",100,148.2,151,"forest",21212,0.959982693193743
"35",0.970789967783889,-119.7372,46.2528,"SRR12823103","United States","PRJNA669067","0-15 cm",100,146,151,"agricultural land",28994,0.970789967783889
"36",0.957899092081599,147.45971,-42.24227,"SRR5915956","AUnited Statestralia","PRJNA317932","0",100,150,150,"grassland",26645,0.957899092081599
"37",0.949628823863112,147.42263,-42.61742,"SRR5915997","AUnited Statestralia","PRJNA317932","0",100,150,150,"grassland",29383,0.949628823863112
"38",0.966482849510864,141.61639,-13.84394,"SRR5916035","AUnited Statestralia","PRJNA317932","0",100,150.8,151,"shrubland",22553,0.966482849510864
"39",0.959494615383937,147.45611,-42.54522,"SRR5916047","AUnited Statestralia","PRJNA317932","0",100,150,150,"forest",25207,0.959494615383937
"40",0.962035533619163,146.8927,-42.27154,"SRR5916093","AUnited Statestralia","PRJNA317932","0",100,150.9,151,"shrubland",29191,0.962035533619163
"41",0.941714863980671,141.50618,-13.74768,"SRR5916120","AUnited Statestralia","PRJNA317932","0",100,150.8,151,"shrubland",29273,0.941714863980671
"42",0.958170270326211,147.42226,-42.61778,"SRR5916140","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"agricultural land",29383,0.958170270326211
"43",0.957071034575616,147.04742,-42.38784,"SRR5916175","AUnited Statestralia","PRJNA317932","0",100,149.8,150,"shrubland",26743,0.957071034575616
"44",0.965384942147503,147.61451,-42.27904,"SRR5916217","AUnited Statestralia","PRJNA317932","0",100,149.8,150,"grassland",28650,0.965384942147503
"45",0.962007579097145,147.31891,-41.77754,"SRR5916275","AUnited Statestralia","PRJNA317932","0",100,150.9,151,"forest",29561,0.962007579097145
"46",0.949924006297689,145.09314,-41.58365,"SRR5916285","AUnited Statestralia","PRJNA317932","0",100,150,150,"grassland",22956,0.949924006297689
"47",0.956275062247504,147.31092,-42.38433,"SRR5916294","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"grassland",29312,0.956275062247504
"48",0.945724121595466,147.43977,-42.8072,"SRR5916354","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"agricultural land",28769,0.945724121595466
"49",0.946471281633335,147.40767,-42.40422,"SRR5916420","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"forest",28378,0.946471281633335
"50",0.948894704491257,131.0423,-25.351,"SRR5918911","AUnited Statestralia","PRJNA317932","0",90,151,151,"grassland",23725,0.948894704491257
"51",0.948198567524453,131.0423,-25.351,"SRR5918912","AUnited Statestralia","PRJNA317932","0",90,151,151,"grassland",23725,0.948198567524453
"52",0.924188146092213,145.4478833,-16.10341667,"SRR5918916","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"forest",28988,0.924188146092213
"53",0.951924644194051,145.6308833,-17.12108333,"SRR5918921","AUnited Statestralia","PRJNA317932","0",100,150,150,"forest",24358,0.951924644194051
"54",0.935050296661373,140.7064,-34.03715,"SRR5918944","AUnited Statestralia","PRJNA317932","0",100,150,150,"shrubland",27854,0.935050296661373
"55",0.937843869091634,146.6542886,-43.09507123,"SRR5918954","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"forest",23247,0.937843869091634
"56",0.963558075528335,135.77629,-13.40822,"SRR5918955","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"grassland",23237,0.963558075528335
"57",0.94399275410112,144.05391,-37.25205,"SRR5918958","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"forest",27481,0.94399275410112
"58",0.913378026494125,140.3515262,-34.098,"SRR5918960","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"agricultural land",26563,0.913378026494125
"59",0.941733027157832,130.92864,-25.2875,"SRR5918970","AUnited Statestralia","PRJNA317932","0",100,150,150,"grassland",15331,0.941733027157832
"60",0.933213456946078,126.9831,-31.86331667,"SRR5918978","AUnited Statestralia","PRJNA317932","0",100,150,150,"grassland",13172,0.933213456946078
"61",0.952361221252348,150.7352711,-35.15304021,"SRR5918986","AUnited Statestralia","PRJNA317932","0",100,149.9,150,"forest",26936,0.952361221252348
"62",0.961879236676805,131.085,-25.3119,"SRR5918988","AUnited Statestralia","PRJNA317932","0",100,150,150,"grassland",11489,0.961879236676805
"63",0.939872538400408,131.084,-25.3118,"SRR5918989","AUnited Statestralia","PRJNA317932","0",100,150,150,"grassland",11489,0.939872538400408
"64",0.934844030094662,141.99678,-35.12282,"SRR5918992","AUnited Statestralia","PRJNA317932","20 cm",90,151,151,"agricultural land",29667,0.934844030094662
"65",0.948535690120855,142.28934,-36.67146,"SRR5918993","AUnited Statestralia","PRJNA317932","0",90,151,151,"agricultural land",29211,0.948535690120855
"66",0.942219187268804,142.28934,-36.67146,"SRR5918994","AUnited Statestralia","PRJNA317932","20 cm",90,151,151,"agricultural land",29211,0.942219187268804
"67",0.921327799886185,141.99678,-35.12282,"SRR5918997","AUnited Statestralia","PRJNA317932","0",90,151,151,"agricultural land",29667,0.921327799886185
